Date,Water Level (meters) - Niveau d'eau (mètres),Discharge (cubic meters per second) - Débit (mètres cubes par seconde)
2024-01-01,0.4068479166666667,261000.0
2024-01-02,0.36840208333333335,261000.0
2024-01-03,0.40618541666666663,261000.0
2024-01-04,0.41428750000000003,261000.0
2024-01-05,0.3961895833333333,261000.0
2024-01-06,0.5088291666666667,262000.0
2024-01-07,0.5280041666666667,262000.0
2024-01-08,0.43068541666666665,262000.0
2024-01-09,0.5001395833333333,262000.0
2024-01-10,0.3628604166666667,262000.0
2024-01-11,0.35262083333333333,262000.0
2024-01-12,0.42397500000000005,262000.0
2024-01-13,0.4327083333333333,263000.0
2024-01-14,0.22126875000000001,263000.0
2024-01-15,0.32537916666666666,263000.0
2024-01-16,0.348275,264000.0
2024-01-17,0.30594375,263000.0
2024-01-18,0.3106770833333333,259000.0
2024-01-19,0.2602604166666667,240000.0
2024-01-20,0.24610625,240000.0
2024-01-21,0.28065625,240000.0
2024-01-22,0.29725208333333336,247000.0
2024-01-23,0.3922625,261000.0
2024-01-24,0.4559083333333333,267000.0
2024-01-25,0.42063124999999996,267000.0
2024-01-26,0.42759791666666663,267000.0
2024-01-27,0.40205,268000.0
2024-01-28,0.3792916666666667,268000.0
2024-01-29,0.36630833333333335,268000.0
2024-01-30,0.4234375,268000.0
2024-01-31,0.3812666666666667,268000.0
2024-02-01,0.3447791666666667,268000.0
2024-02-02,0.37855416666666664,268000.0
2024-02-03,0.38723125,275000.0
2024-02-04,0.38088333333333335,275000.0
2024-02-05,0.38186666666666663,275000.0
2024-02-06,0.394675,276000.0
2024-02-07,0.3544583333333333,275000.0
2024-02-08,0.3728770833333333,275000.0
2024-02-09,0.3746395833333333,275000.0
2024-02-10,0.3666875,276000.0
2024-02-11,0.38639166666666663,276000.0
2024-02-12,0.40840624999999997,276000.0
2024-02-13,0.3888229166666667,276000.0
2024-02-14,0.346875,276000.0
2024-02-15,0.3914604166666667,276000.0
2024-02-16,0.36763541666666666,276000.0
2024-02-17,0.36249791666666664,274000.0
2024-02-18,0.3433229166666667,274000.0
2024-02-19,0.3386729166666667,274000.0
2024-02-20,0.3556625,275000.0
2024-02-21,0.3815145833333334,274000.0
2024-02-22,0.3931895833333333,274000.0
2024-02-23,0.3758208333333333,274000.0
2024-02-24,0.3489729166666667,272000.0
2024-02-25,0.34703124999999996,272000.0
2024-02-26,0.360725,272000.0
2024-02-27,0.3717958333333333,272000.0
2024-02-28,0.3173875,272000.0
2024-02-29,0.308575,272000.0
2024-03-01,0.3858270833333333,272000.0
2024-03-02,0.38235833333333336,272000.0
2024-03-03,0.35455,271000.0
2024-03-04,0.39312500000000006,274000.0
2024-03-05,0.3699145833333333,273000.0
2024-03-06,0.4126458333333333,273000.0
2024-03-07,0.4182416666666667,273000.0
2024-03-08,0.4182708333333333,273000.0
2024-03-09,0.3734166666666667,272000.0
2024-03-10,0.36952708333333334,271000.0
2024-03-11,0.3379625,273000.0
2024-03-12,0.348675,272000.0
2024-03-13,0.3992479166666667,272000.0
2024-03-14,0.3800625,272000.0
2024-03-15,0.3968104166666667,272000.0
2024-03-16,0.4112520833333333,276000.0
2024-03-17,0.39506875,276000.0
2024-03-18,0.35574583333333337,276000.0
2024-03-19,0.3828020833333333,276000.0
2024-03-20,0.3660083333333333,276000.0
2024-03-21,0.31168541666666666,276000.0
2024-03-22,0.44067708333333333,277000.0
2024-03-23,0.5244291666666666,277000.0
2024-03-24,0.44595833333333335,277000.0
2024-03-25,0.5033375,277000.0
2024-03-26,0.5303979166666667,277000.0
2024-03-27,0.49630833333333335,277000.0
2024-03-28,0.4404458333333333,277000.0
2024-03-29,0.44205625000000004,277000.0
2024-03-30,0.4429520833333333,273000.0
2024-03-31,0.44268541666666666,273000.0
2024-04-01,0.445025,273000.0
2024-04-02,0.5015125,273000.0
2024-04-03,0.5968187500000001,273000.0
2024-04-04,0.6792020833333333,273000.0
2024-04-05,0.45976458333333337,273000.0
2024-04-06,0.4679229166666667,274000.0
2024-04-07,0.45204791666666666,274000.0
2024-04-08,0.440425,274000.0
2024-04-09,0.4845770833333333,274000.0
2024-04-10,0.49489791666666666,274000.0
2024-04-11,0.4865729166666667,274000.0
2024-04-12,0.4779291666666667,274000.0
2024-04-13,0.4327833333333333,274000.0
2024-04-14,0.4781416666666667,274000.0
2024-04-15,0.46313125,274000.0
2024-04-16,0.44453125,274000.0
2024-04-17,0.4935875,274000.0
2024-04-18,0.5211770833333333,275000.0
2024-04-19,0.44715,275000.0
2024-04-20,0.4378125,287000.0
2024-04-21,0.4434020833333333,287000.0
2024-04-22,0.48490833333333333,287000.0
2024-04-23,0.4882625,287000.0
2024-04-24,0.5056041666666666,286000.0
2024-04-25,0.5149229166666667,287000.0
2024-04-26,0.5261666666666667,287000.0
2024-04-27,0.5197833333333334,288000.0
2024-04-28,0.5114520833333334,288000.0
2024-04-29,0.5333,288000.0
2024-04-30,0.5670208333333334,288000.0
2024-05-01,0.5081208333333334,288000.0
2024-05-02,0.4941729166666667,288000.0
2024-05-03,0.48720624999999995,287000.0
2024-05-04,0.46810833333333335,285000.0
2024-05-05,0.47220208333333336,285000.0
2024-05-06,0.49407708333333333,285000.0
2024-05-07,0.4808791666666667,285000.0
2024-05-08,0.5175104166666666,285000.0
2024-05-09,0.51109375,285000.0
2024-05-10,0.5110291666666666,285000.0
2024-05-11,0.4848395833333333,283000.0
2024-05-12,0.48005000000000003,283000.0
2024-05-13,0.48819999999999997,283000.0
2024-05-14,0.5183479166666667,283000.0
2024-05-15,0.51813125,283000.0
2024-05-16,0.49477916666666666,283000.0
2024-05-17,0.4668145833333333,283000.0
2024-05-18,0.47251041666666665,281000.0
2024-05-19,0.4777270833333333,282000.0
2024-05-20,0.47507708333333326,282000.0
2024-05-21,0.4946479166666667,282000.0
2024-05-22,0.5232333333333333,282000.0
2024-05-23,0.47555833333333336,282000.0
2024-05-24,0.42901041666666667,281000.0
2024-05-25,0.4762395833333333,281000.0
2024-05-26,0.48833333333333334,281000.0
