Station Name - Nom de la station,Cornwall
Station Code - Code de la station,14870
Latitude - Latitude,45.01473
Longitude - Longitude,-74.711514
Time Zone - Fuseau horaire,Canada/Eastern
Code - Code,wlo
Date - Date,Water Level (meters) - Niveau d'eau (mètres)
2024/01/01 00:00,0.41
2024/01/01 00:03,0.411
2024/01/01 00:06,0.41
2024/01/01 00:09,0.408
2024/01/01 00:12,0.408
2024/01/01 00:15,0.409
2024/01/01 00:18,0.411
2024/01/01 00:21,0.411
2024/01/01 00:24,0.412
2024/01/01 00:27,0.412
2024/01/01 00:30,0.412
2024/01/01 00:33,0.411
2024/01/01 00:36,0.411
2024/01/01 00:39,0.411
2024/01/01 00:42,0.41
2024/01/01 00:45,0.41
2024/01/01 00:48,0.41
2024/01/01 00:51,0.411
2024/01/01 00:54,0.409
2024/01/01 00:57,0.41
2024/01/01 01:00,0.412
2024/01/01 01:03,0.411
2024/01/01 01:06,0.411
2024/01/01 01:09,0.411
2024/01/01 01:12,0.409
2024/01/01 01:15,0.409
2024/01/01 01:18,0.409
2024/01/01 01:21,0.409
2024/01/01 01:24,0.41
2024/01/01 01:27,0.41
2024/01/01 01:30,0.412
2024/01/01 01:33,0.412
2024/01/01 01:36,0.411
2024/01/01 01:39,0.411
2024/01/01 01:42,0.411
2024/01/01 01:45,0.411
2024/01/01 01:48,0.413
2024/01/01 01:51,0.413
2024/01/01 01:54,0.412
2024/01/01 01:57,0.411
2024/01/01 02:00,0.411
2024/01/01 02:03,0.41
2024/01/01 02:06,0.411
2024/01/01 02:09,0.411
2024/01/01 02:12,0.413
2024/01/01 02:15,0.413
2024/01/01 02:18,0.413
2024/01/01 02:21,0.411
2024/01/01 02:24,0.41
2024/01/01 02:27,0.409
2024/01/01 02:30,0.409
2024/01/01 02:33,0.412
2024/01/01 02:36,0.413
2024/01/01 02:39,0.412
2024/01/01 02:42,0.413
2024/01/01 02:45,0.413
2024/01/01 02:48,0.412
2024/01/01 02:51,0.411
2024/01/01 02:54,0.411
2024/01/01 02:57,0.413
2024/01/01 03:00,0.414
2024/01/01 03:03,0.415
2024/01/01 03:06,0.415
2024/01/01 03:09,0.414
2024/01/01 03:12,0.414
2024/01/01 03:15,0.414
2024/01/01 03:18,0.414
2024/01/01 03:21,0.415
2024/01/01 03:24,0.415
2024/01/01 03:27,0.415
2024/01/01 03:30,0.414
2024/01/01 03:33,0.414
2024/01/01 03:36,0.414
2024/01/01 03:39,0.414
2024/01/01 03:42,0.414
2024/01/01 03:45,0.413
2024/01/01 03:48,0.415
2024/01/01 03:51,0.415
2024/01/01 03:54,0.417
2024/01/01 03:57,0.416
2024/01/01 04:00,0.416
2024/01/01 04:03,0.416
2024/01/01 04:06,0.416
2024/01/01 04:09,0.416
2024/01/01 04:12,0.416
2024/01/01 04:15,0.416
